episode: 276/10000, score: 124, e: 0.0099, -146
episode: 277/10000, score: 124, e: 0.0099, -147
episode: 278/10000, score: 124, e: 0.0099, -148
episode: 279/10000, score: 124, e: 0.0099, -149
episode: 280/10000, score: 124, e: 0.0099, -148
episode: 281/10000, score: 124, e: 0.0099, -149
episode: 282/10000, score: 124, e: 0.0099, -150
episode: 283/10000, score: 124, e: 0.0099, -151
episode: 284/10000, score: 124, e: 0.0099, -152
episode: 285/10000, score: 124, e: 0.0099, -153
episode: 286/10000, score: 124, e: 0.0099, -152
episode: 287/10000, score: 124, e: 0.0099, -153
episode: 288/10000, score: 124, e: 0.0099, -154
episode: 289/10000, score: 124, e: 0.0099, -155
episode: 290/10000, score: 124, e: 0.0099, -156
episode: 291/10000, score: 124, e: 0.0099, -155
episode: 292/10000, score: 124, e: 0.0099, -154
episode: 293/10000, score: 124, e: 0.0099, -155
episode: 294/10000, score: 124, e: 0.0099, -156
episode: 295/10000, score: 124, e: 0.0099, -157
episode: 296/10000, score: 124, e: 0.0099, -158
episode: 297/10000, score: 124, e: 0.0099, -157
episode: 298/10000, score: 124, e: 0.0099, -158
episode: 299/10000, score: 124, e: 0.0099, -159
episode: 300/10000, score: 124, e: 0.0099, -160
episode: 301/10000, score: 124, e: 0.0099, -161
episode: 302/10000, score: 124, e: 0.0099, -162
episode: 303/10000, score: 124, e: 0.0099, -161
episode: 304/10000, score: 124, e: 0.0099, -160
episode: 305/10000, score: 124, e: 0.0099, -161
episode: 306/10000, score: 124, e: 0.0099, -162
episode: 307/10000, score: 124, e: 0.0099, -163
episode: 308/10000, score: 124, e: 0.0099, -164
episode: 309/10000, score: 124, e: 0.0099, -165
episode: 310/10000, score: 124, e: 0.0099, -166
episode: 311/10000, score: 124, e: 0.0099, -167
episode: 312/10000, score: 124, e: 0.0099, -168
episode: 313/10000, score: 124, e: 0.0099, -169
episode: 314/10000, score: 124, e: 0.0099, -168
episode: 315/10000, score: 124, e: 0.0099, -169
episode: 316/10000, score: 124, e: 0.0099, -170
episode: 317/10000, score: 124, e: 0.0099, -171
episode: 318/10000, score: 124, e: 0.0099, -172
